name,address,district,receipt,quantity,capacity,fee
Remark HB Limited (PRO),"Baushia, Gazaria",Munshiganj,356861,"2,2,1","15 kg,100 kg,600 kg","400,600,500"
Remark HB Limited (RMS),"Baushia, Gazaria",Munshiganj,356861,"1,1,1,1","600gm, 15 kg, 60 kg, 600 kg","100,200,300,500"
