name,address,district,capacity,fee,quantity,brand,denomination,weight_class,memo
Tasty Treat-Baridhara-2,"Intraco Center, Plot#40, Road#9, Block#J, Progoti Soroni, Baridhara",Dhaka,0 to 30 Kg,200,1,RFL Weight Scale,none,none,..605.31.003.21
Tasty Treat-Chandana Chowrasta,"Majid mansion,chandana Chowrasta, Joydebpur road",Gazipur,0 to 30 Kg,200,1,RFL Weight Scale,none,none,..605.31.003.21
Tasty Treat-Joydevpur-2,"G,119, Mosharraf Tower, Joydevpur",Gazipur,0 to 30 Kg,200,1,RFL Weight Scale,none,none,..605.31.003.21
Tasty Treat-Bosila,"12/A, Riaz Uddin Market, Washpur, Bosila, Mohammadpur",Dhaka,0 to 30 Kg,200,1,RFL Weight Scale,none,none,..605.31.003.21
Tasty Treat-Uttar Badda,"Cha/86/A, Amzad Bapary Tower, North Badda",Dhaka,0 to 30 Kg,200,1,RFL Weight Scale,none,none,..605.31.003.21
Tasty Treat-NBR,"Rajashwa Bhaban Plot# F 1/A Agargaon, Sher-E-Bangla Nagar",Dhaka,0 to 30 Kg,200,1,RFL Weight Scale,none,none,..605.31.003.21
