name,address,thana,district,brand,capacity,quantity,receipt,type,model,serial
Tasty Treat-Ashkona,"27, Hazi Komor Uddin Tower, Ashkona",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Khilkhet,"A/56, Khilkhet Bazar, Khilkhet",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Azampur Kacha Bazar, Dakhinkhan ,Dhaka","House# 141, Shah Kabir Mazar Road, Azampur Kachabazar, Dokhinkhan",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Uttara Sector-9,"Plot # 03,Road# 1/B,Sector # 09,House Building , Opposite of Mascot Plaza ,Uttara",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Uttara-12,"Uttara sectore-12 , shah makdum avenue - house-39",none,Dhaka,RFL,30,2,359505,Digital weight scale,none,none
Tasty Treat-Uttara-10,"Uttara sector-10, road-13, house-33",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-uttara-5,"Uttara sector-5, road-1, house-38",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Bakshi bazar,"19, Bakshibazar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Satrawja,"21,Abul Hasnat Road,Satrowza",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Azimpur,44/A/1/2 Shapra mashjid Azimur,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Kamrangir Char,"12, Ashrababad Main Road, Ismail Mention, kamrangirchar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Lalbagh Kella,"1No Lalbagh Road,Lalbagh",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-LAXMIBAZAR,"Puran Dhaka 20/21 Suvas ghos Aveneue, Laxmibazar, Sutrapur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Nazimuddin Road,"27,Rajonigondha House, Nazimuddin Road",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Lalbug,"4/1/2 Azimpur Road, Lalbagh",none,Dhaka,RFL,30,2,359505,Digital weight scale,none,none
Tasty Treat-TT-Hazaribagh,"75, Nilambar shaha Road, Nobabgonj, Hazaribag",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Azimpur-2,"Pilkhana Road,Azimpur koborsthan",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Bangla Academy,"Bangla Academy, Dhaka univercity",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
