name,address,thana,district,brand,capacity,quantity,receipt,type,model,serial
Tasty Treat-TT-Hemayetpur,"Signgair Road, Hatem Ali Super Market, Hemayetpur, Savar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Talbag Savar,"D-119/3Talbag, Savar ",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT- Savar Shimultola,"B-2/13, Radio colony bus stand ,Savar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT- Jahangirnagar University,fajitulnesa Hall Jahanginagar University ,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT- Rokeya Hall JU,Rokeya Hall Jahangirnagar University,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT- Daffodil International University,Daffodil International University ,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Daffodil University Savar-2,Daffodil International University Food Court,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tasty Treat-Mohammadpur,"Y,14/C, Rajia Sultana Road , Mohammadpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-DHANMONDI,"99, Sat Mosque Road, 11/A, Dhanmondi",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tasty Treat-Outlet-SANKAR,"House#118(New), Road#9/A(New), Dhanmondi",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tasty Treat-Adabor,"H#10, Probal Housing, Road#02, Shaker Tek, Adabor, Mohammadpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tasty Treat-S.Room- Shyamoli,"37, Shyamoli Cinema Hall Building, Shyamoli",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-KATASUR-MOHAMMADPUR,"5/3, Sher-E-Bangla Road, Katasur, Mohammadpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-DHAKA AIRPORT,Dhaka international Airport,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-LALMATIA-2,"Arong Traffic Signal, 2/1, Block-A, lalmatia, Mohammadpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Tasty treat - NBR,"Rajashwa Bhaban Plot# F 1/A Agargaon, Sher-E-Bangla Nagar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-SNACKS CORNER-DHAKA AIRPORT,Dhaka international Airport,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Sorowardi Medical Canteen,Sorowardi Medical College Hospital,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Kalshi,"Road-02,Hose-16,Block-E,Kalshi,Mirpur-12",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-ECB,"ECB,Armi Markat,shop 6/7, Dhaka Cantonment",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Shewrapara,"770,West Shewrapara",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Kazi para ,"571,East Kazi para ",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Mirpir-14,"C B-288, Kachukhet Bazar  Road Dhaka Cantonment",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-DOSH,"Plot-02 Dosh, sagufta Mirpur Dosh",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Taltola ,Shahid Complex 97/1 Agargaon Taltola,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-FARMGAT,"Indira Road, Leguna stand, Faramgate",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-PANTHAPATH,"44/9, West West Panthapath",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-GREEN-ROAD,"20/22,Ground Floor,shop no#01,bir Uttam Safiullah Roan,Green Road",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-BEPZA,"BEPZA Complex, House#19/D, Road#06, Greenroad, Dhanmondi",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-BIJOY SARANI,"Shop#01, Airport Road Super Market,  145, Bijoy Saroni, Farmgate (Monipuri Para 1 no Gate).",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-FARMGATE-2,"79, Green Road, Green View Market, Farmgate",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-TEJTURI BAZAR FARMGATE-DHAKA,"H # 49, science college road, east Tejturi bazar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-SHAHINBAGH TEJGAON,"Road # 12, shahinbag, haji islam shorok, Tejgaon",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-CIVIL AVIATION SCHOOL,"Civil aviation School & College ,Tejgaon",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-NAKHALPARA TEJGAON,"605, West Nakhalpara, Tejgaon",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-NEW MARKET,"House No : 360, Elephant Road, New Market",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-FACULTY OF BUSINESS STUDIES DU,"Faculty of Business Studies, Dhaka University",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-TCB BHAVAN,"1, Kawran Bazar, Panthapath Tejgaon link Road",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Mirpur bus stand,"1/1, Darus Salam Road, South Bishil, Mirpur-1 Bus-stand",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat- Mirpur Shadin Bangla,"Mirpur 1, Shadin  Bangla Super Mkt, Shop No. : 125,126,127",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Kallyanpur,"Shop#23, BRTC Market, Kallyanpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-mirpur 60Feet -2,"Amtola , Mirpur-60 feet road",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Mirpur-6,"H # 66, Block # A, Section # 6, Mirpur Old Original-10",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-mirpur-1,"11, Darus Salam Road, Mirpur-1",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Rupnagar-2,"H#17/A, Road#08, Rupnagar R/A, Mirpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-diyabari Rajuk project,"Diyabari Rajuk Project, Uttara, Sector#18",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Mirpur-11,"Plot#06, Main Road, Road#03, Section-07, Mirpur-11",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Monipur ,"H#10, Probal Housing, Road#02, Shaker Tek, Adabor, Mohammadpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Rupnagar-1,"27/A/2, Rupnagar R/A, Mirpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Mir[pur Stadium Gate,"Mirpur Shere-e Bangla Stadium VIP Gate ,House # 40 ,Road # 8,Block # H,Section-2, Mirpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Mirpur-12,Dhaka international Airport,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Mirpur Zoo Road,"1/1 & 1/2, Road#02, Zoo Road, Block-G, Section-1, Mirpur-1",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Joypara Bazar,Dohar","409, Dewan Tower, Joypara bazar, Dohar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Bagmara Bazar, Nababgonj","869, Jahangir Mention, Bagmara Bazar, Nababgonj",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Hospital Sodor road , Munshiganj ","605,Hospital sodor road,R.K Tower",none,Munsiganj,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Jurain ,"493 , East Jurain ,Hazi K Ali road",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Ati Bazar , Keraniganj","H # 44 ,Ati Bazar ,Keraniganj",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Rohitpur,Keraniganj","House # 26 ,Road# 03 , Rohitpur ,keraniganj",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Kodomtoli , Keraniganj","BT Tower, Kodomtoli Chowrasta, Keranigonj",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Zinzira, Keranigonj","Hauli, Zinzira, Keranigong, (Opposite to press club)",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Bosila ,Mohammadpur","12/A, Riaz Uddin Market, Washpur, Bosila, Mohammadpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
