name,address,thana,district,type,capacity,quantity,brand,model,serial,receipt
Sara’s Cloud Kitchen,"Cholimon Villa (Md. Abul Hossain), House No- 06, Road No-02, 340, Uttar badda Moinarbagh",Badda,Dhaka,Digital Weight Scale,5,1,RFL,none,none,359906
Sara’s Cloud Kitchen,"Cholimon Villa (Md. Abul Hossain), House No- 06, Road No-02, 340, Uttar badda Moinarbagh",Badda,Dhaka,Digital Weight Scale,30,2,RFL,none,none,359906
Sara’s Cloud Kitchen,"Cholimon Villa (Md. Abul Hossain), House No- 06, Road No-02, 340, Uttar badda Moinarbagh",Badda,Dhaka,Digital Weight Scale,100,1,MADINA,none,none,359906
Sara’s Cloud Kitchen,"Cholimon Villa (Md. Abul Hossain), House No- 06, Road No-02, 340, Uttar badda Moinarbagh",Badda,Dhaka,Digital Weight Scale,100,1,RFL,none,none,359906
Sara’s Cloud Kitchen,"1265, Nurer Chala",Vatara,Dhaka,Digital Weight Scale,5,1,RFL,none,none,359906
Sara’s Cloud Kitchen,"1265, Nurer Chala",Vatara,Dhaka,Digital Weight Scale,30,1,RFL,none,none,359906
Sara’s Cloud Kitchen,"1265, Nurer Chala",Vatara,Dhaka,Digital Weight Scale,300,1,RFL,none,none,359906
